股價日期,代號,名稱,成交張數
2026-03-22,6996,力領科技,86
2026-03-22,2731,雄獅,205
2026-03-22,3374,精材,2894
2026-03-22,5287,數字,268
2026-03-22,6426,統新,13717
2026-03-22,5209,新鼎,42
2026-03-22,6719,力智,236
2026-03-22,6435,大中,857
2026-03-22,6720,久昌,66
2026-03-22,6895,宏碩系統,176
2026-03-22,6955,邦睿生技-創,0
2026-03-22,6907,雅特力-KY,3142
2026-03-22,6761,穩得,1130
2026-03-22,6922,宸曜,46
2026-03-22,8478,東哥遊艇,109
2026-03-22,4571,鈞興-KY,218
2026-03-22,6957,裕慶-KY,54
2026-03-22,2428,興勤,307
2026-03-22,2301,光寶科,13702
2026-03-22,2337,旺宏,70711
2026-03-22,6449,鈺邦,452
2026-03-22,3217,優群,736
2026-03-22,3357,臺慶科,2693
2026-03-22,1268,漢來美食,17
2026-03-22,1513,中興電,3218
2026-03-22,3035,智原,2320
2026-03-22,3135,凌航,3466
2026-03-22,6732,昇佳電子,154
2026-03-22,2597,潤弘,2903
2026-03-22,6861,睿生光電,2521
2026-03-22,2486,一詮,2772
2026-03-22,6271,同欣電,3975
2026-03-22,1256,鮮活果汁-KY,40
2026-03-22,8467,波力-KY,18
2026-03-22,2645,長榮航太,1291
2026-03-22,2640,大車隊,185
2026-03-22,3264,欣銓,4802
2026-03-22,4536,拓凱,314
2026-03-22,4569,六方科-KY,453
2026-03-22,8033,雷虎,7228
2026-03-22,8937,合騏,548
2026-03-22,3416,融程電,177
2026-03-22,7788,松川精密,325
2026-03-22,8069,元太,9962
2026-03-22,1215,卜蜂,647
2026-03-22,1773,勝一,676
2026-03-22,6914,阜爾運通,87
2026-03-22,1232,大統益,72
2026-03-22,4755,三福化,1167
2026-03-22,6596,寬宏藝術,1027
2026-03-22,4961,天鈺,2264
2026-03-22,6535,順藥,205
2026-03-22,8147,正淩,487
2026-03-22,2421,建準,5226
2026-03-22,3532,台勝科,5440
